排名,片名,年份,時長,分級,連結
139,孤兒流浪記,1921,1h 8m,0+,https://www.imdb.com/title/tt0012349/?ref_=chttp_t_139
204,福爾摩斯二世,1924,45m,6+,https://www.imdb.com/title/tt0015324/?ref_=chttp_t_204
202,淘金記,1925,1h 35m,6+,https://www.imdb.com/title/tt0015864/?ref_=chttp_t_202
208,將軍號,1926,1h 18m,Passed,https://www.imdb.com/title/tt0017925/?ref_=chttp_t_208
119,大都會,1927,2h 33m,Not Rated,https://www.imdb.com/title/tt0017136/?ref_=chttp_t_119
236,聖女貞德蒙難記,1928,1h 50m,Passed,https://www.imdb.com/title/tt0019254/?ref_=chttp_t_236
54,城市之光,1931,1h 27m,0+,https://www.imdb.com/title/tt0021749/?ref_=chttp_t_54
107,M就是兇手,1931,1h 57m,Passed,https://www.imdb.com/title/tt0022100/?ref_=chttp_t_107
50,摩登時代,1936,1h 27m,0+,https://www.imdb.com/title/tt0027977/?ref_=chttp_t_50
164,亂世佳人,1939,3h 58m,0+,https://www.imdb.com/title/tt0031381/?ref_=chttp_t_164
209,華府風雲,1939,2h 9m,Approved,https://www.imdb.com/title/tt0031679/?ref_=chttp_t_209
234,綠野仙蹤,1939,1h 42m,0+,https://www.imdb.com/title/tt0032138/?ref_=chttp_t_234
67,大獨裁者,1940,2h 5m,0+,https://www.imdb.com/title/tt0032553/?ref_=chttp_t_67
243,怒火之花,1940,2h 9m,Approved,https://www.imdb.com/title/tt0032551/?ref_=chttp_t_243
108,大國民,1941,1h 59m,PG,https://www.imdb.com/title/tt0033467/?ref_=chttp_t_108
45,北非諜影,1942,1h 42m,0+,https://www.imdb.com/title/tt0034583/?ref_=chttp_t_45
244,生死問題,1942,1h 39m,6+,https://www.imdb.com/title/tt0035446/?ref_=chttp_t_244
104,雙重賠償,1944,1h 47m,Approved,https://www.imdb.com/title/tt0036775/?ref_=chttp_t_104
21,風雲人物,1946,2h 10m,0+,https://www.imdb.com/title/tt0038650/?ref_=chttp_t_21
227,黃金時代,1946,2h 50m,Approved,https://www.imdb.com/title/tt0036868/?ref_=chttp_t_227
124,單車失竊記,1948,1h 29m,Not Rated,https://www.imdb.com/title/tt0040522/?ref_=chttp_t_124
154,碧血金沙,1948,2h 6m,Approved,https://www.imdb.com/title/tt0040897/?ref_=chttp_t_154
215,黑獄亡魂,1949,1h 44m,PG-12,https://www.imdb.com/title/tt0041959/?ref_=chttp_t_215
62,日落大道,1950,1h 50m,12+,https://www.imdb.com/title/tt0043014/?ref_=chttp_t_62
141,彗星美人,1950,2h 18m,0+,https://www.imdb.com/title/tt0042192/?ref_=chttp_t_141
169,羅生門,1950,1h 28m,PG-12,https://www.imdb.com/title/tt0042876/?ref_=chttp_t_169
89,萬花嬉春,1952,1h 43m,0+,https://www.imdb.com/title/tt0045152/?ref_=chttp_t_89
95,生之慾,1952,2h 23m,Not Rated,https://www.imdb.com/title/tt0044741/?ref_=chttp_t_95
207,恐懼的代價,1953,2h 36m,Not Rated,https://www.imdb.com/title/tt0046268/?ref_=chttp_t_207
214,東京物語,1953,2h 17m,Not Rated,https://www.imdb.com/title/tt0046438/?ref_=chttp_t_214
23,七武士,1954,3h 27m,Not Rated,https://www.imdb.com/title/tt0047478/?ref_=chttp_t_23
