name,original_price,current_price
【LocknLock 樂扣樂扣】官方直營 嚼對FUN飲不鏽鋼吸管杯 720ml(316L不鏽鋼/720ml大容量/多色任選),"1,499","1,199"
【GENG YUAN 耕沅】料理靈魂 萬用芝麻蒜拌醬180g/4罐-選用台灣雲林蒜頭(原味/調味),"1,276",699
★momo特談組★【EVER-VITA x Boojimo】除氯香氛濾芯＋專屬蓮蓬頭(任選香味3＋1組合),"3,120","1,688"
【倍潔雅】花漾柔感抽取式衛生紙PEFC(150抽x84包/箱),"1,680",979
【ARIEL】極淨進化 4D抗菌洗衣膠囊/洗衣球 60顆X2/30顆x4 日本進口 10倍潔淨(抗菌去漬/室內晾衣/自然微香),"1,079",859
【幫寶適】一級幫 極上守護 散熱拉拉褲M-XXL/黏貼型M-XL嬰兒紙尿褲/褲型/尿布 1箱,"1,429","1,299"
【Hair Recipe】1入 洗髮精/護髮潤髮乳530ml(髮的食譜/髮的料理/生薑清茶新上市),479,299
【ANESSA 安耐曬】金鑽高效防曬露NA 5X版 60mLx2入組(專櫃公司貨),"1,900",899
【OLAY 歐蕾】新上市★水光小白瓶買1送4新客組(30ml+6mlx3+化妝水/精華水50ml/革糖素PRO),"1,199",999
【BODYLUV】純淨完美蓮蓬頭濾芯(3入),498,348
【BRITA】官方直營 MAXTRA PRO濾芯-去水垢專家(10入裝),"3,750","2,370"
【BRITA】官方直營 MAXTRA PRO濾芯-去水垢專家(12入裝),"3,276","2,815"
如果歷史是一群喵（15）：大清風雲篇【萌貓漫畫學歷史】,490,387
【Qbi 塊樂方程式】0-6歲｜全能挑戰組-益智軌道磁吸玩具(momo獨家/STEAM玩具/磁吸積木/軌道車/39pcs),"5,800",熱銷一空
【IMPACT 怡寶】★momo獨家★閃耀星空護脊書包-黑／粉(★高cp輕量護脊書包750g★),"2,790",熱銷一空
【大研生醫】視易適葉黃素(30粒.陳美鳳代言.添加蝦紅素.智利酒果.山桑子),"1,980","1,042"
【醫強】75%酒精液 2桶組(4000ml/桶 防疫清潔),"1,500",570
【亞培】任選-安素原味/香草減甜即飲 HMB升級配方 237ml x 30入(成人營養品、補充體力、三重蛋白),"2,570","2,125"
【Metro Taipei 台北捷運】台北捷運 (受託代銷)心中山南段開幕紀念-燈箱招牌立體造型悠遊卡,N/A,450
【Fien Home】植絨按壓快速充氣頸枕(護頸枕 飛機枕 旅行枕 U型枕),450,109
【Segway】D38U 摺疊電動滑板車｜高光照明｜續航38km｜腳踏車、自行車替代車款,"22,800","10,999"
【Dynalink】Google TV 智慧4K電視盒 電視棒 / DL-GT36(Netflix Disney+ 雙授權/全新升級版本/Chromecast),"2,299","1,680"
【Nintendo 任天堂】Switch 2 瑪利歐賽車世界 主機組(台灣公司貨),"16,350","15,580"
Switch 2專用副廠9H鋼化玻璃保護貼,599,399
【MyCard】1000點點數卡,"1,000",950
【MyCard】50點點數卡,50,47
【MyCard】3000點點數卡,"3,000","2,850"
【NIKE 耐吉】AIR FORCE 1 07 運動鞋 休閒鞋 男鞋 女鞋 白FORCE(CW2288-111&DD8959-100),"3,600","2,299"
【American Explorer】熱賣款★25吋/26吋/29吋均一價 行李箱/運動箱/胖胖箱 防爆拉鍊 TSA海關鎖(多款任選),"3,880","1,250"
【adidas 愛迪達】VL COURT 2.0 復古休閒鞋 運動鞋 男鞋/女鞋 多款任選(JH5061/JH5063/JR8318/JR8309),"2,290","1,390"
【Sun Flower三花】3件組五片式針織平口褲(純棉男四角內褲 四角褲 男內褲 多色任選),960,600
【24HRS】經典款 親膚無痕內衣 細肩款 寬肩款 9色任選(無鋼圈內衣 女內衣 女內著 背心式),680,520
【24HRS】鎮店款 無感支撐內衣 3色任選(舒適到忘記有穿 無鋼圈內衣 女內衣 女內著 背扣式),680,520
【乖乖】乖乖萬事順利春聯袋-52g*4包/袋(新春/送禮/拜拜/順利/好運/平安)(中元/拜拜),120,99
【台鹽】海洋鹼性離子水850mlx20入/箱(官方直營)  (TQF微笑標章),635,369
【原萃】無糖茶 寶特瓶系列580mlx24入/箱(無糖),696,438
【HERAN 禾聯】14吋智能變頻DC風扇(HDF-14A3),"2,490","1,090"
【Panasonic 國際牌】日本製乾濕兩用電動刮鬍刀(ES-ST2S-K),"3,990","2,988"
【樂米 LARMI】手持高速製冷風扇 LMF08,"1,290",890
